#{"t_start": 1695213136.580772, "env_id": null}
r,l,t
-7403.711173,500,1.440253
2.638422,1,3.753774
-7344.13563,500,3.942581
0.545109,1,6.058246
-20.980395,10,6.069277
-9.324912,7,6.115263
-45.872328,14,6.152909
-7465.879153,500,6.40179
-4.956686,6,8.637802
-5522.468464,500,8.865289
-88.209428,22,11.065144
-197.124589,34,11.184974
-5747.699429,500,11.559647
4.471754,1,13.761087
-5414.616933,500,14.104285
-5461.537855,500,14.278432
-5304.754299,500,14.446943
-72.054225,19,14.454451
-5550.203394,500,14.638963
-5510.354239,500,14.871665
-3.490652,5,19.111538
-5585.891538,500,19.359106
1.903202,1,21.419815
-0.399048,3,21.426814
-81.650673,21,21.444817
0.007685,1,21.535152
-29.068881,12,21.542155
-5650.112587,500,21.79993
-25.371639,9,23.922024
0.683631,2,23.963532
2.4291,1,23.972922
-5745.74695,500,24.175517
-10.031224,8,26.397908
-5635.894148,500,26.637025
-124.131092,29,29.027361
-91.412799,24,29.03536
-5512.040094,500,29.249336
-5506.002562,500,29.446656
-5384.468224,500,29.639122
1.976785,1,29.657369
-5714.131053,500,31.977911
-134.883924,32,34.386268
-5457.646688,500,34.81241
-5226.875275,500,37.171882
-10.398648,6,39.339226
-5413.522797,500,39.569276
2.356714,1,41.593692
-5292.22115,500,41.803741
-5498.071433,500,44.569816
-5501.028563,500,44.739602
-108.6446,27,44.750602
-5490.640004,500,44.951511
-5496.07127,500,45.134691
-44.492118,11,45.141116
-33.366269,15,47.234743
0.242245,2,47.308645
-26.803923,12,47.321645
-3.329518,5,47.373154
-55.367971,11,47.39666
3.747069,1,47.454861
-80.955129,13,47.463864
-1.173213,2,47.520371
-157.12772,34,47.541371
-3.559676,4,47.696445
-47.303878,13,47.721446
2.586131,1,47.778112
-200.990305,38,47.797523
-174.758881,36,47.981491
-26.640782,10,48.146754
-109.311257,29,48.209275
0.12976,1,48.339116
-57.102413,22,48.356117
-178.918864,36,48.481154
-132.046671,31,48.657673
2.568571,1,48.786913
-180.552354,36,48.806911
-108.629951,14,48.990937
-45.627135,10,49.055938
0.854897,1,49.09645
-136.829298,30,49.11245
-46.125134,11,49.24496
-37.576159,13,49.295469
-203.163812,39,49.360471
-3.493054,5,49.52849
-48.20759,16,49.554492
2.906948,1,49.619002
1.122674,1,49.625001
-160.836939,35,49.641001
-20.520153,8,49.790026
-39.835186,11,49.829026
-77.72256,25,49.880537
-75.5652,24,49.997046
-14.655143,8,50.094554
-228.034116,38,50.145555
-42.648481,12,50.301771
-32.651374,8,50.356772
-198.802392,38,50.405282
-0.458412,3,50.557791
-54.682608,12,50.572793
-20.644941,7,50.628299
-37.808335,9,50.663302
-56.469278,11,50.706809
-0.95493,4,50.753808
-7.910417,6,50.774321
-24.039647,14,50.806321
0.041249,2,50.862324
-12.628229,6,50.872826
-27.240836,8,50.902828
-156.922373,34,50.953833
-38.738225,18,51.096853
-16.424495,11,51.17537
-42.24352,10,51.229367
0.661512,1,51.271371
-44.870058,17,51.282877
-51.845445,19,51.357877
-101.029481,26,51.455388
-39.003505,9,51.566106
-62.041875,21,51.607614
-185.808729,35,51.710125
-63.607418,19,51.866571
-205.380402,39,51.962079
-28.764342,8,52.138139
-1.973015,3,52.183697
-16.325485,8,52.205684
-83.786029,25,52.250013
-48.325403,10,52.353876
-5.230598,7,52.396384
-1.602914,3,52.437386
-18.003997,8,52.452386
-10.959383,6,52.486893
-178.764324,34,52.528893
-4.488185,5,52.690922
-154.345817,32,52.72791
-56.998536,11,52.85977
-0.313084,2,52.908282
-125.183956,32,52.931282
-51.923008,17,53.079258
-3.727015,3,53.154978
-7.486559,5,53.16698
-188.953129,37,53.209208
-0.279378,2,53.36677
-30.61107,16,53.381872
-180.865633,34,53.461177
-8.65932,5,53.606986
-0.466747,2,53.628986
-7.895054,6,53.639987
-0.162877,2,53.66499
-106.029017,29,53.685495
-14.166629,6,53.805004
-24.791036,15,53.837004
-13.418554,7,53.899513
-86.749646,26,53.938513
-31.517078,9,54.047721
-6.630296,4,54.08705
0.512989,1,54.104051
-1.069677,3,54.109051
-41.940319,9,54.12605
-0.494827,2,54.164054
-59.938441,11,54.177561
-53.370008,20,54.235635
2.1077,1,54.327657
-27.882009,7,54.332657
-23.640693,7,54.367659
-68.329143,12,54.403209
2.678772,1,54.451684
-20.628087,9,54.460686
0.845351,1,54.4967
1.455438,1,54.503152
-31.173079,8,54.511153
-35.428794,17,54.557152
-21.111238,9,54.628784
0.504051,2,54.672786
-35.553399,8,54.6848
-0.655798,3,54.720309
-17.129773,7,54.73631
-31.26297,10,54.770698
-63.799601,18,54.818938
-20.194295,11,54.896935
-1.362793,3,54.944428
-9.512509,6,54.958428
-0.521258,2,54.988936
-1.326317,3,55.001043
-11.858538,6,55.019043
-0.542527,2,55.045481
-0.572509,2,55.054494
-3.701533,5,55.065498
-146.589721,34,55.104482
-6.27322,5,55.259413
-25.565652,9,55.293678
-30.964671,11,55.345678
-17.911051,9,55.394543
-21.186913,11,55.440543
-51.236197,10,55.500966
-6.261835,5,55.547967
2.671431,1,55.571477
0.050333,2,55.578515
-34.650408,9,55.592515
-137.35516,31,55.648793
-79.306831,25,55.796648
-106.910826,29,55.935974
-1.385209,3,56.070374
-23.074719,8,56.084404
-2.699935,3,56.119405
-30.64936,10,56.143404
-7.730286,5,56.197917
-1.590896,4,56.218916
-26.559383,7,56.237917
-138.699206,33,56.28538
-0.238444,2,56.431888
-0.071233,2,56.440888
-3.025755,3,56.450888
0.802707,1,56.468891
-33.015993,9,56.475396
0.979849,1,56.517396
-190.757272,37,56.539396
-3.809898,5,56.715471
-32.142033,11,56.744471
4.343862,1,56.79898
0.042221,2,56.80598
-39.259478,9,56.82298
-13.013217,6,56.867982
-22.971086,8,56.895487
-48.971942,10,56.930487
-4.011444,4,56.980334
-2.908319,3,56.999334
-16.293128,7,57.012333
-131.556473,30,57.055334
-190.316335,38,57.201349
-12.932939,8,57.40143
-8.301794,5,57.43543
-20.170738,9,57.45943
-39.798598,17,57.509938
-13.651214,7,57.583462
-2.516293,4,57.615461
2.325849,1,57.636462
-181.071996,37,57.658461
-11.128618,6,57.815477
-9.419774,7,57.841476
-58.125265,21,57.876985
0.681905,1,57.975492
-6.882488,5,57.980492
-9.444581,5,58.004492
-5.724897,4,58.027493
-24.945042,10,58.049492
-29.754878,11,58.098001
-26.712698,10,58.151001
-206.163111,39,58.211547
-2.180106,4,58.396094
-81.453857,24,58.425094
-32.17742,10,58.537601
-31.556461,8,58.587109
-36.579112,17,58.640109
-9.851006,5,58.723616
-98.600744,22,58.754616
0.05583,2,58.852124
-33.261007,11,58.866127
-9.690528,5,58.928632
-29.142946,8,58.954632
-100.663604,25,59.001139
-109.819742,25,59.132647
-34.411762,9,59.253155
-56.990107,10,59.297663
-10.460951,5,59.339662
-7.360493,6,59.362665
-32.536102,9,59.393183
0.993983,1,59.433171
-1.395617,3,59.437171
-66.54302,23,59.463173
-13.231505,8,59.56868
-38.633666,9,59.609213
-8.142412,5,59.652213
-15.116547,8,59.676725
-19.741547,9,59.717976
-19.276881,7,59.759978
-11.129684,7,59.793485
-18.557017,7,59.829484
-19.016374,8,59.862487
-11.618232,5,59.895991
-170.398874,36,59.933991
-26.145097,8,60.090007
-22.354769,9,60.126007
-7.273581,8,60.163009
-21.628456,10,60.201515
3.380289,1,60.244515
0.200909,1,60.251515
-0.710764,3,60.256515
-4.390989,5,60.271518
-85.039646,25,60.304023
-101.807755,27,60.418544
2.572316,1,60.53209
-25.007495,7,60.54009
-3.191694,4,60.570092
-7.160005,6,60.590457
-14.431424,6,60.618458
-205.853406,41,60.658458
-5.331851,4,60.836486
-32.134822,9,60.856486
3.503,1,60.892009
-27.153334,10,60.902009
-2.274313,3,60.954009
-11.253135,6,60.969012
-39.402786,15,60.999548
0.148159,1,61.068086
-5.833869,7,61.076595
-23.82219,9,61.116607
-71.657832,24,61.164597
-44.819963,12,61.268146
-35.932638,9,61.322667
-31.428864,8,61.365676
-38.701316,8,61.400718
0.617502,1,61.434718
0.904235,1,61.439718
3.358834,1,61.446718
-14.190637,7,61.455734
-52.931428,19,61.501985
-40.524017,10,61.591495
1.497062,1,61.591495
-167.277027,34,61.603495
-80.468919,23,61.610495
-109.340913,29,61.621495
-21.482718,9,61.643495
-117.677756,29,61.706002
-37.23814,12,61.833537
-21.995658,13,61.888061
-6.544823,5,61.94706
-41.8277,13,61.975063
-97.698837,27,62.045568
-42.002488,10,62.178583
-31.89463,16,62.231584
-24.898142,9,62.301117
-40.93941,18,62.345117
-19.058052,7,62.423831
0.031187,1,62.456832
-34.138039,8,62.462835
-12.627112,6,62.50034
-0.80261,3,62.52634
0.272444,2,62.54234
-10.103522,10,62.555352
-6.290129,5,62.601909
-17.090063,12,62.626909
-43.515426,12,62.684417
0.843161,1,62.73543
-62.233134,22,62.74943
-0.951763,3,62.841868
-17.064927,6,62.856146
-122.647717,29,62.893017
-12.26696,5,63.016281
-43.083557,10,63.039281
-19.573476,8,63.089539
2.476234,1,63.124971
-60.3658,20,63.137971
-116.454442,31,63.24476
-16.860078,7,63.405636
-25.311292,10,63.457635
-58.789982,16,63.525148
4.447642,1,63.611661
-4.170663,5,63.619662
-22.652082,8,63.652662
-45.368126,10,63.697175
0.389886,1,63.746175
-12.84936,7,63.753175
-139.81549,30,63.807919
-4.58048,4,63.943473
-58.380785,11,63.965525
-3.696491,4,64.02573
-142.25974,32,64.056934
-32.587408,11,64.200735
-128.124056,31,64.267132
-22.763638,7,64.413428
1.25558,1,64.458427
-115.002725,27,64.485444
-51.446298,13,64.647959
-16.245121,8,64.724847
-38.117801,11,64.767851
-23.973292,8,64.833723
-6.937811,5,64.884238
