#{"t_start": 1698025728.808209, "env_id": null}
r,l,t
-8163.22126,500,1.471953
-19014.178468,500,3.802417
-1646.383494,94,6.013894
-18722.433514,500,6.662842
3.736459,1,8.900135
-19829.916495,500,9.114152
-18228.076265,500,11.550479
-17120.614554,500,14.170623
-18081.780755,500,14.350011
-17337.266412,500,14.526532
-21395.083335,500,14.717109
-116.756892,19,14.725108
-453.10365,28,14.78198
-20643.946898,500,17.126085
-15.011232,6,19.663412
-16914.065039,500,19.897864
-11305.659425,500,22.527905
-1.635398,3,25.210926
-32.490223,11,25.226931
-11682.200017,500,25.503571
-308.640782,25,28.021368
-10145.625291,500,28.390336
-9926.433068,500,31.262524
-10089.821702,500,31.436734
-9267.516016,500,31.621219
-9440.913862,500,31.811466
-10446.937832,500,32.011726
-9114.904999,500,32.292019
-240.133028,20,37.274868
-9557.850594,500,37.598031
-9666.368698,500,39.988538
-9398.838069,500,42.311614
-212.3554,25,44.486871
-9410.314275,500,44.8099
-10478.345039,500,47.403808
-9189.12543,500,47.59334
-9353.7736,500,47.794404
-9726.303258,500,48.017182
-529.908435,29,48.031183
-9488.223818,500,48.312722
-9474.910226,500,53.402257
-9679.829667,500,55.809474
-9722.406863,500,58.245213
-9029.131992,500,60.60449
-0.519102,2,62.773628
-176.476507,19,62.994904
-500.03847,30,63.006409
-9204.275397,500,63.183933
-9459.436888,500,63.371961
-9743.067759,500,63.564
-8875.780298,500,63.841597
-32.642602,10,69.061822
-9428.859971,500,69.331434
-9802.589333,500,71.67102
-8876.642104,500,73.935288
-9138.706295,500,76.242153
-10861.388722,500,78.744951
-9524.019936,500,78.925967
-10017.182525,500,79.108985
-9657.227112,500,79.289795
-9474.014495,500,79.483812
-9716.816758,500,79.743376
-9642.135096,500,84.619092
-10115.541791,500,86.945922
-9523.371773,500,89.275736
-9647.631895,500,91.576893
-9524.405888,500,93.834627
-9623.638672,500,94.004138
-9358.474993,500,94.175604
-9515.848541,500,94.359643
-208.509493,24,94.367643
-9344.826263,500,94.551897
-9236.403272,500,96.913251
-9472.66043,500,99.546224
-228.160634,23,101.75247
-9537.118254,500,102.065269
2.865841,1,104.243914
-17.803121,7,104.252914
-9618.371225,500,104.537948
-9190.537567,500,106.935585
-5.44454,6,109.109284
-9112.861017,500,109.499008
-9499.705871,500,109.680028
-9497.782593,500,109.856044
-9775.923315,500,110.02923
2.037975,1,110.02923
-9546.79497,500,110.247235
-9820.31298,500,115.085447
-102.684013,14,117.262458
-9769.068406,500,117.531982
-169.77191,23,119.620297
-13886.742386,500,119.932542
-20908.0004,500,122.207792
-16922.439194,500,124.731174
-19014.533444,500,124.912695
-20006.987211,500,125.09174
-19434.160968,500,125.291803
-17886.182717,500,125.485909
-18223.947292,500,125.749045
-18035.709638,500,130.312265
-16945.354639,500,132.611132
-8.880951,6,135.026082
-555.949863,30,135.066587
-17940.93981,500,135.440328
-16830.841401,500,137.737043
-52.043385,12,140.190279
-199.541469,25,140.199278
-17597.691171,500,140.384295
0.542724,2,140.384295
-17396.8997,500,140.573081
-20678.483865,500,140.806607
-65.687254,15,145.654889
-147.135425,16,145.732394
-17368.507701,500,146.030495
-34.402899,11,148.519517
-18197.249148,500,148.793014
-10578.317098,500,151.406137
-9527.75818,500,154.029682
-65.847551,12,156.555578
-270.758474,24,156.569578
-9120.084629,500,156.767594
-9434.542397,500,156.973874
-9529.727927,500,157.163887
-9537.246696,500,157.426907
-231.130194,25,163.135491
-9236.466509,500,163.484585
-9531.843484,500,166.19485
-9698.208403,500,168.772655
-9479.191203,500,171.444939
-9235.319136,500,174.766883
-9692.031426,500,174.961905
-9512.207719,500,175.184926
-9778.443361,500,175.375996
-9360.418794,500,175.568513
-9571.573382,500,175.837331
-9218.150252,500,181.353719
-49.157732,12,183.741281
-9753.306707,500,184.028515
-8971.202588,500,186.94918
-99.516292,13,189.365148
-10428.717343,500,189.63951
-9853.756747,500,192.808179
-10235.128935,500,192.996918
-9611.605925,500,193.200799
-9630.594028,500,193.392484
-162.641573,21,193.400484
-9536.178156,500,193.668352
-9539.54297,500,199.079909
-50.653479,11,201.568723
-9218.11761,500,201.84574
-9651.334424,500,204.659742
-10933.042611,500,207.295114
-9443.105572,500,210.04327
-9980.883106,500,210.236734
-10143.102977,500,210.431749
-9837.10313,500,210.622278
-10323.559366,500,210.841312
-10309.748739,500,211.116345
-9498.217379,500,216.698612
-37.160878,9,219.058177
-9872.641472,500,219.314875
-392.540547,25,221.793121
-9163.023545,500,222.155693
-9200.537682,500,224.836104
-9232.180243,500,227.730446
-88.15463,16,227.736467
-9804.530247,500,227.942463
-40.402485,9,227.945479
-9570.509682,500,228.172152
-9380.636824,500,228.413939
-9217.416679,500,234.006833
-9882.484013,500,236.693052
-9701.09556,500,239.294284
-10175.043145,500,241.977412
-10289.532468,500,244.606345
-10455.722827,500,244.81249
-10088.465373,500,245.019454
-6.174837,4,245.021455
-160.241481,22,245.029455
-10415.384387,500,245.237471
-10150.101792,500,247.808249
-11285.309829,500,250.502682
-10288.656288,500,253.076137
-9745.195484,500,255.661669
-9662.941113,500,258.372792
-10772.752667,500,260.964021
-328.441706,23,260.97202
-9509.328189,500,261.151037
-9572.715163,500,261.330139
-9590.66945,500,261.507957
-9483.019024,500,261.682973
-9442.549027,500,264.427095
-9235.235301,500,267.236087
-9437.193667,500,269.734323
-168.899005,22,272.275355
-9053.788085,500,272.617232
-9532.455546,500,275.224226
-68.795605,15,278.764152
-9300.235789,500,278.961012
-9391.562637,500,279.160541
-9233.94683,500,279.35956
-10295.715121,500,279.548102
-133.114291,22,279.560102
-185.725021,18,282.503126
-9945.570254,500,282.807717
-9035.022073,500,285.799426
-9754.621611,500,288.356425
-10038.581011,500,291.227133
-10224.831828,500,293.985255
-10091.085403,500,297.09938
-10189.057654,500,297.295795
-10123.036726,500,297.49533
-9741.535286,500,297.722372
-9685.775522,500,297.92039
-10975.374161,500,298.175017
-287.550283,27,303.54617
-10866.127981,500,303.884308
-11664.097619,500,306.505289
-163.712285,22,309.325146
-10021.246062,500,309.681196
-9877.708772,500,312.223612
-198.923995,24,314.682987
-9824.307547,500,314.868957
-9537.427538,500,315.049982
-320.847599,26,315.064982
-9255.970552,500,315.275001
-118.968574,16,315.285
-9873.345027,500,318.480745
-9743.919667,500,321.532773
-85.836731,16,323.949431
-10876.78767,500,324.238877
-9466.991269,500,327.172156
-9760.889124,500,330.22088
0.967749,1,332.77008
-116.32619,19,332.78808
-99.578022,14,332.929101
-9745.679917,500,333.437651
-9745.54207,500,333.63867
-36.240995,9,333.64167
-9725.570402,500,333.855687
-9636.99412,500,334.050705
-10350.428993,500,334.31723
-242.910126,27,339.47665
-10796.460979,500,339.787482
-450.099201,28,341.876218
-71.672616,15,341.998233
-9648.491291,500,342.274765
-121.657149,15,344.282767
-9605.032867,500,344.567412
-9805.762146,500,346.836184
-9434.325641,500,349.272056
-37.369495,11,349.276056
-9782.403778,500,349.452266
-10695.987324,500,349.625322
-9368.764431,500,349.814482
-9432.889717,500,350.073262
-9419.614116,500,354.68544
-8898.747062,500,357.03783
-9638.728979,500,359.365378
-7.30742,5,361.513147
-9368.522407,500,361.748602
-95.875169,17,363.861445
-9429.23311,500,364.325715
-9932.671968,500,364.510889
-18.614867,8,364.513895
-9926.270892,500,364.701953
-9460.939282,500,364.895205
-9366.415664,500,365.159292
-10807.940503,500,370.107901
-9583.62942,500,372.458
-233.604493,20,374.574573
2.626192,1,374.656763
-9208.956668,500,374.876957
-9464.03238,500,377.492991
-180.50914,22,379.827149
-530.301281,29,379.83715
-10627.287744,500,380.007174
-9499.070035,500,380.185511
-260.319186,23,380.196512
-9584.093568,500,380.429035
-50.790539,10,385.439386
-15.198152,7,385.484895
-9446.72558,500,385.741911
-441.295269,28,387.942529
-0.51962,2,388.057151
-9273.543982,500,388.280923
-10675.113735,500,390.662015
-9669.14828,500,393.186675
4.433959,1,395.462855
-275.106574,25,395.672979
-9702.358149,500,395.885744
-9304.962939,500,396.110938
